Name,Rank,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6
Allison,1,,Research,,,,
Allison,2,,,,,,AVA
Allison,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Allison,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
Kyle,1,,,,,AVA,
Kyle,2,,,,Research,,
Kyle,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Kyle,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
Bennet,1,AVA,,,,,
Bennet,2,,,,DVA,,
Bennet,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Bennet,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
Danielle,1,Cornea,,,,,
Danielle,2,,,,,Research,
Danielle,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Danielle,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
Jason,1,,,AVA,,,
Jason,2,,Cornea,,,,
Jason,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Jason,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
Paul,1,Research,,,,,
Paul,2,,AVA,,,,
Paul,100,Capstone,Capstone,Capstone,Capstone,Capstone,Capstone
Paul,100,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics,Aesthetics
